epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,6448.96,0.1173,1.14291,0.9145,0.55175,0.68751,0.63474,0.63463,0.03514,0.78927,1.04165,0.0043075,0.0043075,0.0043075
71,6546.8,0.11656,1.14175,0.91483,0.55514,0.68277,0.63599,0.63586,0.03602,0.78856,1.04168,0.004225,0.004225,0.004225
72,6644.66,0.11631,1.14372,0.91399,0.55381,0.68126,0.63739,0.63726,0.03561,0.78883,1.04167,0.0041425,0.0041425,0.0041425
73,6742.61,0.11539,1.1386,0.91444,0.55528,0.69087,0.63853,0.63838,0.03628,0.78794,1.0417,0.00406,0.00406,0.00406
74,6840.8,0.11354,1.14154,0.9148,0.5581,0.68933,0.63946,0.63931,0.03677,0.78672,1.04173,0.0039775,0.0039775,0.0039775
75,6938.23,0.11375,1.14245,0.91436,0.5633,0.6846,0.64065,0.6405,0.03727,0.78596,1.04178,0.003895,0.003895,0.003895
76,7036.16,0.11384,1.13373,0.91453,0.56591,0.68625,0.64175,0.64159,0.03706,0.78521,1.04182,0.0038125,0.0038125,0.0038125
77,7134.01,0.11186,1.13569,0.9139,0.57082,0.67529,0.64239,0.64224,0.03704,0.78395,1.04177,0.00373,0.00373,0.00373
78,7232.18,0.11177,1.13481,0.91418,0.5687,0.67613,0.64326,0.64313,0.03687,0.78243,1.04175,0.0036475,0.0036475,0.0036475
79,7330.16,0.1109,1.13201,0.91383,0.568,0.67805,0.64421,0.64408,0.03659,0.78152,1.04174,0.003565,0.003565,0.003565
80,7428.71,0.10998,1.12912,0.91346,0.57503,0.67282,0.64557,0.64543,0.0362,0.78071,1.04177,0.0034825,0.0034825,0.0034825
81,7528.87,0.10902,1.12989,0.91398,0.57673,0.66881,0.64713,0.64698,0.0364,0.78056,1.04179,0.0034,0.0034,0.0034
82,7628.3,0.10778,1.12902,0.91381,0.5808,0.66379,0.64845,0.64832,0.03633,0.77977,1.04181,0.0033175,0.0033175,0.0033175
83,7726.5,0.10755,1.12715,0.91317,0.59124,0.65495,0.6495,0.64937,0.03628,0.77938,1.0418,0.003235,0.003235,0.003235
84,7824.49,0.10694,1.12311,0.91353,0.59425,0.65007,0.65066,0.65053,0.03558,0.77753,1.04177,0.0031525,0.0031525,0.0031525
85,7922.37,0.10634,1.12584,0.9136,0.595,0.65035,0.65209,0.65195,0.03549,0.77671,1.04179,0.00307,0.00307,0.00307
86,8020.78,0.10561,1.12436,0.91394,0.57656,0.67671,0.65336,0.65324,0.0354,0.77621,1.04177,0.0029875,0.0029875,0.0029875
87,8118.55,0.10402,1.11872,0.9128,0.57706,0.67698,0.65472,0.65455,0.0357,0.77618,1.04179,0.002905,0.002905,0.002905
88,8217,0.10304,1.12138,0.91303,0.57772,0.67657,0.65569,0.65551,0.03584,0.7759,1.04179,0.0028225,0.0028225,0.0028225
89,8314.85,0.1026,1.11835,0.91328,0.57995,0.6752,0.6565,0.65631,0.03657,0.77586,1.04181,0.00274,0.00274,0.00274
90,8412.8,0.10163,1.1193,0.91339,0.57914,0.68419,0.6577,0.6575,0.03672,0.77627,1.04182,0.0026575,0.0026575,0.0026575
91,8510.94,inf,1.11714,0.91353,0.57746,0.6884,0.65881,0.65861,0.03702,0.77675,1.04182,0.002575,0.002575,0.002575
92,8609.07,0.10014,1.1145,0.91323,0.58169,0.68921,0.66002,0.65977,0.03715,0.77514,1.04185,0.0024925,0.0024925,0.0024925
93,8707.89,0.09946,1.1094,0.91259,0.58453,0.68785,0.66142,0.66115,0.03679,0.77333,1.04185,0.00241,0.00241,0.00241
94,8806.28,0.09833,1.11234,0.91232,0.59012,0.68317,0.6622,0.66202,0.03708,0.77084,1.04184,0.0023275,0.0023275,0.0023275
95,8904.63,0.09735,1.11182,0.9123,0.59197,0.68098,0.66349,0.66332,0.03676,0.76911,1.0418,0.002245,0.002245,0.002245
96,9002.94,0.09722,1.10604,0.91181,0.59546,0.68167,0.66475,0.66457,0.0375,0.7684,1.0418,0.0021625,0.0021625,0.0021625
97,9101.19,inf,1.10719,0.91275,0.59764,0.6817,0.66583,0.6657,0.03818,0.76844,1.04181,0.00208,0.00208,0.00208
98,9199.55,0.09545,1.1051,0.91195,0.60116,0.68104,0.6666,0.66646,0.03848,0.76847,1.04182,0.0019975,0.0019975,0.0019975
99,9297.94,0.09476,1.104,0.9127,0.60142,0.67837,0.66776,0.66762,0.03892,0.76746,1.04182,0.001915,0.001915,0.001915
100,9395.96,0.09386,1.10318,0.91147,0.60357,0.67725,0.6689,0.66875,0.03894,0.76585,1.04182,0.0018325,0.0018325,0.0018325
101,9499.31,0.0925,1.10261,0.91172,0.60793,0.67505,0.66963,0.66946,0.03928,0.7655,1.04183,0.00175,0.00175,0.00175
102,9597.15,0.09243,1.0997,0.91155,0.60919,0.67383,0.67044,0.67027,0.03992,0.7654,1.04189,0.0016675,0.0016675,0.0016675
103,9695.21,0.09079,1.09711,0.91205,0.61389,0.67442,0.67123,0.67105,0.03981,0.7655,1.04191,0.001585,0.001585,0.001585
104,9793.3,0.09066,1.10014,0.91173,0.60992,0.67752,0.67232,0.67217,0.04058,0.76443,1.04189,0.0015025,0.0015025,0.0015025
105,9891.31,0.08883,1.0931,0.91158,0.61014,0.67917,0.67317,0.67302,0.04094,0.76512,1.04192,0.00142,0.00142,0.00142
106,9989.31,inf,1.08968,0.9115,0.61137,0.68046,0.67412,0.67395,0.04185,0.76494,1.04195,0.0013375,0.0013375,0.0013375
107,10087.2,inf,1.09063,0.91203,0.61009,0.68357,0.67496,0.6748,0.04194,0.76456,1.04196,0.001255,0.001255,0.001255
